analysis,model,n,k_parameters,AIC,BIC_manual,logLik,deviance,null_deviance,df_residual
A_heroin_lifetime_users,Model 0 - baseline,1152,1,513.1968160902557,518.2460709315114,-255.59840804512783,511.19681609025565,511.19681609025565,1151
A_heroin_lifetime_users,Model 1 - add SES indexes,1152,8,482.04345775735186,522.4374964873986,-233.02172887867593,466.04345775735186,511.19681609025565,1144
A_heroin_lifetime_users,Model 2 - add demographics,1152,12,484.7886252633021,545.3796833583722,-230.39431263165105,460.78862526330215,511.19681609025565,1140
A_heroin_lifetime_users,Model 3 - add mental health,1152,13,483.51424626761093,549.1545592039369,-228.75712313380546,457.51424626761093,511.19681609025565,1139
A_heroin_lifetime_users,Model 4 - add treatment and booked,1152,15,486.7371720532204,562.4759946720579,-228.3685860266102,456.7371720532205,511.19681609025565,1137
B_heroin_or_cocaine_lifetime_users,Model 0 - baseline,6660,3,2857.3251277620525,2877.736752052656,-1425.6625638810262,2851.3251277620525,2908.6957382344917,6657
B_heroin_or_cocaine_lifetime_users,Model 1 - add SES indexes,6660,10,2803.107994711997,2871.1467423473414,-1391.5539973559985,2783.107994711998,2908.6957382344917,6650
B_heroin_or_cocaine_lifetime_users,Model 2 - add demographics,6660,14,2742.4943185939755,2837.7485652834575,-1357.2471592969878,2714.4943185939755,2908.6957382344917,6646
B_heroin_or_cocaine_lifetime_users,Model 3 - add mental health,6660,15,2732.597747200648,2834.6558686536646,-1351.298873600324,2702.597747200647,2908.6957382344917,6645
B_heroin_or_cocaine_lifetime_users,Model 4 - add treatment and booked,6660,17,2734.3722282698604,2850.038099249946,-1350.1861141349302,2700.3722282698604,2908.6957382344917,6643
C_heroin_cocaine_meth_lifetime_users,Model 0 - baseline,7120,7,3955.504649449448,4003.59929048029,-1970.752324724724,3941.504649449448,4215.840013549426,7113
C_heroin_cocaine_meth_lifetime_users,Model 1 - add SES indexes,7120,14,3833.068497943762,3929.2577800054464,-1902.534248971881,3805.0684979437624,4215.840013549426,7106
C_heroin_cocaine_meth_lifetime_users,Model 2 - add demographics,7120,18,3777.0873438492595,3900.759277928568,-1870.5436719246297,3741.0873438492595,4215.840013549426,7102
C_heroin_cocaine_meth_lifetime_users,Model 3 - add mental health,7120,19,3727.745204040865,3858.2878011245793,-1844.8726020204324,3689.745204040865,4215.840013549426,7101
C_heroin_cocaine_meth_lifetime_users,Model 4 - add treatment and booked,7120,21,3731.358832466836,3875.6427555593623,-1844.679416233418,3689.358832466837,4215.840013549426,7099
