analysis,model,n,k_parameters,AIC,BIC_manual,logLik,deviance,null_deviance,df_residual
A_heroin_lifetime_users,Sensitivity 0 - baseline,1152,1,513.1968160902557,518.2460709315114,-255.59840804512783,511.19681609025565,511.19681609025565,1151
A_heroin_lifetime_users,Sensitivity 1 - add mental health,1152,2,503.9694671553747,514.0679768378864,-249.98473357768734,499.96946715537456,511.19681609025565,1150
A_heroin_lifetime_users,Sensitivity 2 - add treatment and booked,1152,4,505.14881593589615,525.3458353009195,-248.57440796794808,497.1488159358961,511.19681609025565,1148
A_heroin_lifetime_users,Sensitivity 3 - add demographics,1152,8,509.48788585817215,549.8819245882188,-246.74394292908607,493.4878858581721,511.19681609025565,1144
A_heroin_lifetime_users,Sensitivity 4 - add SES last,1152,15,486.7371720532202,562.4759946720578,-228.3685860266101,456.7371720532204,511.19681609025565,1137
B_heroin_or_cocaine_lifetime_users,Sensitivity 0 - baseline,6660,3,2857.3251277620525,2877.736752052656,-1425.6625638810262,2851.3251277620525,2908.6957382344917,6657
B_heroin_or_cocaine_lifetime_users,Sensitivity 1 - add mental health,6660,4,2826.006488447309,2853.2219875014466,-1409.0032442236545,2818.006488447309,2908.6957382344917,6656
B_heroin_or_cocaine_lifetime_users,Sensitivity 2 - add treatment and booked,6660,6,2825.868293572922,2866.691542154129,-1406.934146786461,2813.868293572921,2908.6957382344917,6654
B_heroin_or_cocaine_lifetime_users,Sensitivity 3 - add demographics,6660,10,2762.3518111074686,2830.390558742813,-1371.1759055537343,2742.351811107468,2908.6957382344917,6650
B_heroin_or_cocaine_lifetime_users,Sensitivity 4 - add SES last,6660,17,2734.372228269861,2850.0380992499463,-1350.1861141349304,2700.372228269861,2908.6957382344917,6643
C_heroin_cocaine_meth_lifetime_users,Sensitivity 0 - baseline,7120,7,3955.504649449448,4003.59929048029,-1970.752324724724,3941.504649449448,4215.840013549426,7113
C_heroin_cocaine_meth_lifetime_users,Sensitivity 1 - add mental health,7120,8,3868.9575690482693,3923.9228730835175,-1926.4787845241347,3852.9575690482693,4215.840013549426,7112
C_heroin_cocaine_meth_lifetime_users,Sensitivity 2 - add treatment and booked,7120,10,3868.8894141637784,3937.5960442078385,-1924.4447070818892,3848.889414163779,4215.840013549426,7110
C_heroin_cocaine_meth_lifetime_users,Sensitivity 3 - add demographics,7120,14,3814.7463883370924,3910.935670398777,-1893.3731941685462,3786.7463883370924,4215.840013549426,7106
C_heroin_cocaine_meth_lifetime_users,Sensitivity 4 - add SES last,7120,21,3731.3588324668362,3875.6427555593627,-1844.6794162334181,3689.358832466836,4215.840013549426,7099
